ID	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	NOTE	DATASET
12160	medicine	kashibo	rɔɔ	rɔɔ	r ɔ ɔ	5678	5265	r ɔ - ɔ ( - - )		None	oliveiraprotopanoan
12161	medicine	kashibo	ro	ro	r o	5679	5266	r o - - - -		None	oliveiraprotopanoan
12162	medicine	kapanawa	raʔo	raʔo	r a ʔ o	5678	5265	r a ʔ o ( - - )		None	oliveiraprotopanoan
12163	medicine	marubo	rao	rao	r a o	5678	5265	r a - o ( - - )		None	oliveiraprotopanoan
12164	medicine	yaminawa	raõ	raõ	r a !õ/o	5678	5265	r a - !õ/o ( - - )		None	oliveiraprotopanoan
12165	medicine	sharanawa	rao	rao	r a o	5678	5265	r a - o ( - - )		None	oliveiraprotopanoan
12166	medicine	sharanawa	raon	raon	r a o n	5678	5265	r a - o ( n - )		None	oliveiraprotopanoan
12167	medicine	chaninawa	ɾaw	ɾaw	ɾ a !w/u	5678	5265	ɾ a - !w/u ( - - )		None	oliveiraprotopanoan
12168	medicine	katukina	raʔũti	raʔũti	r a ʔ !ũ/u t i	5678	5265	r a ʔ !ũ/u ( t i )		None	oliveiraprotopanoan
12169	medicine	kaxinawa	dau	dau	d a u	5678	5265	d a - u ( - - )		None	oliveiraprotopanoan
12170	medicine	marinawa	ráó	ráó	r !á/a !ó/o	5678	5265	r !á/a - !ó/o ( - - )		None	oliveiraprotopanoan
12171	medicine	yawanawa	ɾau	ɾau	ɾ a u	5678	5265	ɾ a - u ( - - )		None	oliveiraprotopanoan
12172	medicine	korubo	ɬawɨ	ɬawɨ	ɬ a w ɨ	5678	5265	ɬ a w ɨ ( - - )		None	oliveiraprotopanoan
12173	medicine	matis	dawɨ	dawɨ	d a w ɨ	5678	5265	d a w ɨ ( - - )		None	oliveiraprotopanoan
12174	fear (be afraid)	protopanoan	ɽaʔtɨ-	ɽaʔtɨ-	ɽ a ʔ t ɨ	5680	5267	ɽ a ʔ ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12175	fear (be afraid)	kashibo	rato-	rato-	r a t o	5680	5267	r a - ( - - ) t o ( - )		None	oliveiraprotopanoan
12176	fear (be afraid)	shipibokonibo	ratɨ-	ratɨ-	r a t ɨ	5680	5267	r a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12177	fear (be afraid)	kapanawa	raʔtɨ-	raʔtɨ-	r a ʔ t ɨ	5680	5267	r a ʔ ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12178	fear (be afraid)	chakobo	ratɨ-	ratɨ-	r a t ɨ	5680	5267	r a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12179	fear (be afraid)	kasharari	tʃakɨtaˈja	tʃakɨtaˈja	tʃ a k ɨ t a j a	5681	5268	tʃ a k ɨ ( - ) t a j a ( - )		None	oliveiraprotopanoan
12180	fear (be afraid)	yaminawa	ratɨ	ratɨ	r a t ɨ	5680	5267	r a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12181	fear (be afraid)	chaninawa	ratɨ-	ratɨ-	r a t ɨ	5680	5267	r a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12182	fear (be afraid)	sharanawa	ratɨi	ratɨi	r a t ɨ i	5680	5267	r a - ( - - ) t ɨ ( i )		None	oliveiraprotopanoan
12183	fear (be afraid)	sharanawa	ratɨa	ratɨa	r a t ɨ a	5680	5267	r a - ( - - ) t ɨ ( a )		None	oliveiraprotopanoan
12184	fear (be afraid)	katukina	ɾakɨ-ti	ɾakɨ-ti	ɾ a k ɨ + t i	5680	5267	ɾ a k ( ɨ + ) t i ( - )		None	oliveiraprotopanoan
12185	fear (be afraid)	amawaka	ratɨ-_I	ratɨ-_I	r a t ɨ	5680	5267	r a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12186	fear (be afraid)	kaxinawa	datɨ-	datɨ-	d a t ɨ	5680	5267	d a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12187	fear (be afraid)	marinawa	rátɨ-	rátɨ-	r !á/a t ɨ	5680	5267	r !á/a - ( - - ) t ɨ ( - )		None	oliveiraprotopanoan
12188	fear (be afraid)	matses	dakto	dakto	d a k t o	5680	5267	d a k ( - - ) t o ( - )		None	oliveiraprotopanoan
12189	*two	protopanoan	ɽaβɨt	ɽaβɨt	ɽ a β ɨ t	5682	5269	ɽ a β ɨ t ( - - - - )		None	oliveiraprotopanoan
12190	two	kashibo	raβɨ́́	raβɨ́́	r a β !ɨ́/ɨ	5682	2192 	r a β !ɨ́/ɨ - - ( - - - - )		None	oliveiraprotopanoan
12191	*two	shipibokonibo	raβɨ́́	raβɨ́́	r a β !ɨ́/ɨ	5682	5269	r a β !ɨ́/ɨ - ( - - - - )		None	oliveiraprotopanoan
12192	*two	kapanawa	raβɨ́́	raβɨ́́	r a β !ɨ́/ɨ	5682	5269	r a β !ɨ́/ɨ - ( - - - - )		None	oliveiraprotopanoan
12193	two	kaxinawa	dabɨ	dabɨ	d a b ɨ	5682	2192	d a b ɨ - - ( - - - - )		None	oliveiraprotopanoan
12194	*two	marubo	raˈvɨvakĩ	raˈvɨvakĩ	r a v ɨ v a k !ĩ/i	5682	5269	r a v ɨ v ( - a k !ĩ/i )		None	oliveiraprotopanoan
12195	two	chakobo	ráβɨta	ráβɨta	r !á/a β ɨ t a	5682	2192 	r !á/a β ɨ t a ( - - - - )		None	oliveiraprotopanoan
12196	two	yaminawa	raɸɨ	raɸɨ	r a ɸ ɨ	5682	2192	r a ɸ ɨ - - ( - - - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12197	two	chaninawa	raɸɨ	raɸɨ	r a ɸ ɨ	5682	2192 	r a ɸ ɨ - - ( - - - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12198	*two	sharanawa	raɸɨ	raɸɨ	r a ɸ ɨ	5682	5269	r a ɸ ɨ - ( - - - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12199	*two	sharanawa	raɸɨn	raɸɨn	r a ɸ ɨ n	5682	5269	r a ɸ ɨ - ( - - n - )		None	oliveiraprotopanoan
12200	two	katukina	raβi	raβi	r a β i	5682	2192 	r a β i - - ( - - - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12201	*two	chaninawa	rafu	rafu	r a f u	5682	5269	r a f u - ( - - - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12202	two	poyanawa	ɾaβu	ɾaβu	ɾ a β u	5682	2192	ɾ a β u - - ( - - - - )		None	oliveiraprotopanoan
12203	two	amawaka	rawɨɨ	rawɨɨ	r a w ɨ ɨ	5682	2192 	r a w ɨ - - ( - ɨ - - )		II	oliveiraprotopanoan
12204	two	marinawa	ráɸɨ	ráɸɨ	r !á/a ɸ ɨ	5682	2192	r !á/a ɸ ɨ - - ( - - - - )		None	oliveiraprotopanoan
12205	two	yawanawa	ɾaβɨ	ɾaβɨ	ɾ a β ɨ	5682	2192	ɾ a β ɨ - - ( - - - - )		None	oliveiraprotopanoan
12206	two	korubo	ɬaβɨtpa	ɬaβɨtpa	ɬ a β ɨ t p a	5682	2192	ɬ a β ɨ t - ( p a - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12207	two	matis	dabɨdpa	dabɨdpa	d a b ɨ d p a	5682	2192	d a b ɨ d - ( p a - - )		None	oliveiraprotopanoan valenzuelazariquieypanotakana
12208	ashamed	protopanoan	ɽaβi[n]-	ɽaβi[n]-	ɽ a β i rⁿ	5683	5270	ɽ a β i rⁿ ( - - - - )		None	oliveiraprotopanoan
12209	ashamed	kashibo	rabi-	rabi-	r a b i	5683	5270	r a b i - ( - - - - )		None	oliveiraprotopanoan
12210	ashamed	shipibokonibo	raβi-	raβi-	r a β i	5683	5270	r a β i - ( - - - - )		None	oliveiraprotopanoan
12211	ashamed	kapanawa	raβín-	raβín-	r a β !í/i n	5683	5270	r a β !í/i n ( - - - - )		None	oliveiraprotopanoan
12212	ashamed	chakobo	raβi-	raβi-	r a β i	5683	5270	r a β i - ( - - - - )		None	oliveiraprotopanoan
12213	ashamed	yaminawa	raɸĩ-kĩ	raɸĩ-kĩ	r a ɸ i ∼ + k !ĩ/i	5683	5270	r a ɸ i ∼ ( + k !ĩ/i - )		None	oliveiraprotopanoan
12214	ashamed	sharanawa	raɸi	raɸi	r a ɸ i	5683	5270	r a ɸ i - ( - - - - )		None	oliveiraprotopanoan
12215	ashamed	sharanawa	raɸia	raɸia	r a ɸ i a	5683	5270	r a ɸ i - ( - - a - )		None	oliveiraprotopanoan
12216	ashamed	katukina	raβinnai	raβinnai	r a β i n n a i	5683	5270	r a β i n ( - n a i )		None	oliveiraprotopanoan
12217	ashamed	amawaka	rawitɨnɨ_I	rawitɨnɨ_I	r a w i t ɨ n ɨ	5683	5270	r a w i - ( t ɨ n ɨ )		None	oliveiraprotopanoan
12218	ashamed	kaxinawa	dabi-	dabi-	d a b i	5683	5270	d a b i - ( - - - - )		None	oliveiraprotopanoan
12219	ashamed	marinawa	ráɸi-	ráɸi-	r !á/a ɸ i	5683	5270	r !á/a ɸ i - ( - - - - )		None	oliveiraprotopanoan
12220	ashamed	yawanawa	ɾaβi	ɾaβi	ɾ a β i	5683	5270	ɾ a β i - ( - - - - )		None	oliveiraprotopanoan
12221	ashamed	matis	dabin-kin	dabin-kin	d a b i n + k i n	5683	5270	d a b i n ( + k i n )		None	oliveiraprotopanoan
12222	knee	protopanoan	ɽãβoʂo[ko]	ɽãβoʂo[ko]	ɽ !ã/a β o ʂ o k o	5684	5271	ɽ !ã/a β o ʂ o k o		None	oliveiraprotopanoan
12223	knee	kashibo	rãβoʂo	rãβoʂo	r !ã/a β o ʂ o	5684	5271	r !ã/a β o ʂ o - -		None	oliveiraprotopanoan
12224	knee	shipibokonibo	rãβoʂo	rãβoʂo	r !ã/a β o ʂ o	5684	5271	r !ã/a β o ʂ o - -		None	oliveiraprotopanoan
12225	knee	kapanawa	raβoʂo	raβoʂo	r a β o ʂ o	5684	5271	r a β o ʂ o - -		None	oliveiraprotopanoan
12226	knee	marubo	ˈravuʃɨ	ˈravuʃɨ	r a v u ʃ ɨ	5684	5271	r a v u ʃ ɨ - -		None	oliveiraprotopanoan
12227	knee	katukina	ɾaβɨˈʂoʔ	ɾaβɨˈʂoʔ	ɾ a β ɨ ʂ o ʔ	5684	5271	ɾ a β ɨ ʂ o ʔ -		None	oliveiraprotopanoan
12228	fear (be afraid)	protopanoan	ɽakwɨ-	ɽakwɨ-	ɽ a kʷ ɨ	5685	5272	ɽ a kʷ ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12229	fear (be afraid)	kashibo	rakwɨ́́	rakwɨ́́	r a kʷ !ɨ́/ɨ	5685	5272	r a kʷ !ɨ́/ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12230	fear (be afraid)	shipibokonibo	rakɨ́́	rakɨ́́	r a k !ɨ́/ɨ	5685	5272	r a k !ɨ́/ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12231	fear (be afraid)	kapanawa	rakɨ́́	rakɨ́́	r a k !ɨ́/ɨ	5685	5272	r a k !ɨ́/ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12232	fear (be afraid)	marubo	raˈkɨa	raˈkɨa	r a k ɨ a	5685	5272	r a k ɨ - ( - - a - - - )		None	oliveiraprotopanoan
12233	fear (be afraid)	chakobo	rakɨ-	rakɨ-	r a k ɨ	5685	5272	r a k ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12234	fear (be afraid)	katukina	rakɨ-ti	rakɨ-ti	r a k ɨ + t i	5685	5272	r a k ɨ - ( + t i - - - )		None	oliveiraprotopanoan
12235	fear (be afraid)	amawaka	rakɨ-_I	rakɨ-_I	r a k ɨ	5685	5272	r a k ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12236	fear (be afraid)	kaxinawa	dakɨ-	dakɨ-	d a k ɨ	5685	5272	d a k ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12237	fear (be afraid)	marinawa	rákɨ	rákɨ	r !á/a k ɨ	5685	5272	r !á/a k ɨ - ( - - - - - - )		None	oliveiraprotopanoan
12238	fear (be afraid)	korubo	ɬakwɨt	ɬakwɨt	ɬ a kʷ ɨ t	5685	5272	ɬ a kʷ ɨ t ( - - - - - - )		None	oliveiraprotopanoan
12239	fear (be afraid)	matis	dakud-kin	dakud-kin	d a k u d + k i n	5685	5272	d a k u d ( - - + k i n )		None	oliveiraprotopanoan
12240	fear (be afraid)	matses	dakwɨd	dakwɨd	d a kʷ ɨ d	5685	5272	d a kʷ ɨ d ( - - - - - - )		None	oliveiraprotopanoan
12241	lie down	protopanoan	ɽaka-	ɽaka-	ɽ a k a	5686	5273	ɽ a k a ( - - - - - - )		None	oliveiraprotopanoan
12242	lie down	kashibo	raka	raka	r a k a	5686	5273	r a k a ( - - - - - - )		None	oliveiraprotopanoan
12243	lie down	shipibokonibo	raka-	raka-	r a k a	5686	5273	r a k a ( - - - - - - )		None	oliveiraprotopanoan
12244	lie down	kapanawa	raka-	raka-	r a k a	5686	5273	r a k a ( - - - - - - )		None	oliveiraprotopanoan
12245	lie down	marubo	raˈkaa	raˈkaa	r a k a a	5686	5273	r a k a ( - - a - - - )		None	oliveiraprotopanoan
12246	lie down	yaminawa	rakakĩ	rakakĩ	r a k a k !ĩ/i	5686	5273	r a k a ( - k !ĩ/i - - - )		None	oliveiraprotopanoan
12247	lie down	chaninawa	raka-	raka-	r a k a	5686	5273	r a k a ( - - - - - - )		None	oliveiraprotopanoan
12248	lie down	sharanawa	rakai	rakai	r a k a i	5686	5273	r a k a ( - - i - - - )		None	oliveiraprotopanoan
12249	lie down	sharanawa	rakan	rakan	r a k a n	5686	5273	r a k a ( - n - - - - )		None	oliveiraprotopanoan
12250	lie down	katukina	rakata	rakata	r a k a t a	5686	5273	r a k a ( - t a - - - )		None	oliveiraprotopanoan
12251	lie down	katukina	raka-ta-ai	raka-ta-ai	r a k a + t a + a i	5686	5273	r a k a ( + t a + a i )		None	oliveiraprotopanoan
12252	lie down	amawaka	raka-	raka-	r a k a	5686	5273	r a k a ( - - - - - - )		II	oliveiraprotopanoan
12253	lie down	kaxinawa	daka	daka	d a k a	5686	5273	d a k a ( - - - - - - )		None	oliveiraprotopanoan
12254	lie down	marinawa	ráka	ráka	r !á/a k a	5686	5273	r !á/a k a ( - - - - - - )		None	oliveiraprotopanoan
12255	cover	protopanoan	ɽako-	ɽako-	ɽ a k o	5687	5274	ɽ a ( - ) k o ( - ) - - ( - - - - )		None	oliveiraprotopanoan
12256	cover	kashibo	rakú-ti	rakú-ti	r a k !ú/u + t i	5687	5274	r a ( - ) k !ú/u ( + ) t i ( - - - - )		None	oliveiraprotopanoan
12257	cover	shipibokonibo	rako-	rako-	r a k o	5687	5274	r a ( - ) k o ( - ) - - ( - - - - )		None	oliveiraprotopanoan
12258	cover	kapanawa	raʔko-kin	raʔko-kin	r a ʔ k o + k i n	5687	5274	r a ( ʔ ) k o ( - ) - - ( + k i n )		None	oliveiraprotopanoan
12259	cover	chakobo	rakoi-	rakoi-	r a k o i	5687	5274	r a ( - ) k o ( - ) - i ( - - - - )		None	oliveiraprotopanoan
12260	cover	sharanawa	rakoti	rakoti	r a k o t i	5687	5274	r a ( - ) k o ( - ) t i ( - - - - )		None	oliveiraprotopanoan
12261	cover	sharanawa	rakotinin	rakotinin	r a k o t i n i n	5687	5274	r a ( - ) k o ( - ) t i ( - n i n )		None	oliveiraprotopanoan
12262	cover	amawaka	rako-	rako-	r a k o	5687	5274	r a ( - ) k o ( - ) - - ( - - - - )		II	oliveiraprotopanoan
12263	cover	kaxinawa	daku-	daku-	d a k u	5687	5274	d a ( - ) k u ( - ) - - ( - - - - )		None	oliveiraprotopanoan
12264	cover	marinawa	ráko-	ráko-	r !á/a k o	5687	5274	r !á/a ( - ) k o ( - ) - - ( - - - - )		None	oliveiraprotopanoan
12265	cover	korubo	ɬakute	ɬakute	ɬ a k u t e	5687	5274	ɬ a ( - ) k u ( - ) t e ( - - - - )		None	oliveiraprotopanoan
12266	hair (body)	protopanoan	ɽani	ɽani	ɽ a n i	5688	5275	ɽ a n i ( - - )		None	oliveiraprotopanoan
12267	hair	marubo	ˈɾɐndi	ˈɾɐndi	ɾ ɐ n d i	5688	5275	ɾ ɐ n.d i ( - - )		None	oliveiraprotopanoan
12268	hair	kasharari	tʃɐˈniˈʔi	tʃɐˈniˈʔi	tʃ ɐ n i ʔ i	5688	5275	tʃ ɐ n i ( ʔ i )		None	oliveiraprotopanoan
12269	hair (body)	sharanawa	rani	rani	r a n i	5688	5275	r a n i ( - - )		None	oliveiraprotopanoan
12270	hair	katukina	ɾaˈni	ɾaˈni	ɾ a n i	5688	5275	ɾ a n i ( - - )		None	oliveiraprotopanoan
12271	hair (body)	amawaka	raní_I	raní_I	r a n !í/i	5688	5275	r a n !í/i ( - - )		None	oliveiraprotopanoan
12272	hair (body)	kaxinawa	dani	dani	d a n i	5688	5275	d a n i ( - - )		None	oliveiraprotopanoan
12273	hair (body)	marinawa	rani	rani	r a n i	5688	5275	r a n i ( - - )		None	oliveiraprotopanoan
12274	hair	yawanawa	ɾaˈni	ɾaˈni	ɾ a n i	5688	5275	ɾ a n i ( - - )		None	oliveiraprotopanoan
12275	hair (body)	korubo	ʃani	ʃani	ʃ a n i	5688	5275	ʃ a n i ( - - )		None	oliveiraprotopanoan
12276	knee	protopanoan	ɽa[n]toko-	ɽa[n]toko-	ɽ a rⁿ t o k o	5689	5276	( - - - - ) ɽ a rⁿ t o ( - ) k o ( - - - )		None	oliveiraprotopanoan
12277	knee	kashibo	rãtũ-ti	rãtũ-ti	r a ∼ t u ∼ + t i	5689	5276	( - - - - ) r a ∼ t u ( ∼ ) - - ( + t i )		None	oliveiraprotopanoan
12278	knee	shipibokonibo	rãtõko	rãtõko	r a ∼ t o ∼ k o	5689	5276	( - - - - ) r a ∼ t o ( ∼ ) k o ( - - - )		None	oliveiraprotopanoan
12279	ankle	shipibokonibo	taɨ_patṍko	taɨ_patṍko	t a ɨ + p a t !ó/o ∼ k o	5689	5276	( t a ɨ + ) p a - t !ó/o ( ∼ ) k o ( - - - )		None	oliveiraprotopanoan
12280	knee	shipibokonibo	taʔɨ	taʔɨ	t a ʔ ɨ	5690	5277	t a - ( - ) - - ʔ ɨ ( - ) - - ( - - - )		,  etimologia 436	oliveiraprotopanoan
12281	knee	kapanawa	ranton	ranton	r a n t o n	5689	5276	( - - - - ) r a n t o ( n ) - - ( - - - )		None	oliveiraprotopanoan
12282	knee	chakobo	rapotó	rapotó	r a p o t !ó/o	5691	5278	r a - ( - - p o ) t !ó/o ( - ) - - ( - - - )		None	oliveiraprotopanoan
12283	knee	kasharari	tʃɐ̃buˈɾu	tʃɐ̃buˈɾu	tʃ ɐ ∼ b u ɾ u	5689	5276	( - - - - ) tʃ ɐ ∼ b u ( - ) ɾ u ( - - - )		None	oliveiraprotopanoan
12284	knee	chaninawa	ratoko	ratoko	r a t o k o	5689	5276	( - - - - ) r a - t o ( - ) k o ( - - - )		None	oliveiraprotopanoan
12285	knee	sharanawa	ratoko	ratoko	r a t o k o	5689	5276	( - - - - ) r a - t o ( - ) k o ( - - - )		None	oliveiraprotopanoan
12286	knee	sharanawa	ratokonɨn	ratokonɨn	r a t o k o n ɨ n	5689	5276	( - - - - ) r a - t o ( - ) k o ( n ɨ n )		None	oliveiraprotopanoan
12287	knee	chaninawa	ɾatunku	ɾatunku	ɾ a t u n k u	5689	5276	( - - - - ) ɾ a - t u ( n ) k u ( - - - )		None	oliveiraprotopanoan
12288	knee	poyanawa	rãtuhku	rãtuhku	r a ∼ t u h k u	5689	5276	( - - - - ) r a ∼ t u ( h ) k u ( - - - )		None	oliveiraprotopanoan
12289	knee	amawaka	rãtõko	rãtõko	r a ∼ t o ∼ k o	5689	5276	( - - - - ) r a ∼ t o ( ∼ ) k o ( - - - )		II	oliveiraprotopanoan
12290	knee	kaxinawa	dãtuku	dãtuku	d a ∼ t u k u	5689	5276	( - - - - ) d a ∼ t u ( - ) k u ( - - - )		None	oliveiraprotopanoan
12291	knee	marinawa	rátoko	rátoko	r !á/a t o k o	5689	5276	( - - - - ) r !á/a - t o ( - ) k o ( - - - )		None	oliveiraprotopanoan
12292	knee	yawanawa	ɾatunku	ɾatunku	ɾ a t u n k u	5689	5276	( - - - - ) ɾ a - t u ( n ) k u ( - - - )		None	oliveiraprotopanoan
12293	knee	korubo	ɬanɨʃ	ɬanɨʃ	ɬ a n ɨ ʃ	5689	5276	( - - - - ) ɬ a - - - ( - ) - - ( n ɨ ʃ )		None	oliveiraprotopanoan
12294	knee	matis	danbɨdu	danbɨdu	d a n b ɨ d u	5689	5276	( - - - - ) d a n b ɨ ( - ) d u ( - - - )		None	oliveiraprotopanoan
12295	knee	matses	dannɨʂ	dannɨʂ	d a n n ɨ ʂ	5689	5276	( - - - - ) d a n - - ( - ) - - ( n ɨ ʂ )		None	oliveiraprotopanoan
12296	kill	protopanoan	ɽɨʔtɨ-	ɽɨʔtɨ-	ɽ ɨ ʔ t ɨ	5693	5280	ɽ ɨ ʔ t ɨ ( - )		None	oliveiraprotopanoan
12297	kill	kashibo	rɨ-	rɨ-	r ɨ	5693	5280	r ɨ - - - ( - )		None	oliveiraprotopanoan
12298	kill	shipibokonibo	rɨtɨ-	rɨtɨ-	r ɨ t ɨ	5693	5280	r ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12299	kill	marubo	rɨtɨ	rɨtɨ	r ɨ t ɨ	5693	5280	r ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12300	kill	yaminawa	rɨtɨ	rɨtɨ	r ɨ t ɨ	5693	5280	r ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12301	kill	chaninawa	rɨtɨ-	rɨtɨ-	r ɨ t ɨ	5693	5280	r ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12302	kill	sharanawa	rɨtɨi	rɨtɨi	r ɨ t ɨ i	5693	5280	r ɨ - t ɨ ( i )		None	oliveiraprotopanoan
12303	kill	sharanawa	rɨtɨa	rɨtɨa	r ɨ t ɨ a	5693	5280	r ɨ - t ɨ ( a )		None	oliveiraprotopanoan
12304	kill	chaninawa	ɾɨtɨ	ɾɨtɨ	ɾ ɨ t ɨ	5693	5280	ɾ ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12305	kill	katukina	rutu-	rutu-	r u t u	5693	5280	r u - t u ( - )		None	oliveiraprotopanoan
12306	kill	kaxinawa	dɨtɨ-	dɨtɨ-	d ɨ t ɨ	5693	5280	d ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12307	kill	marinawa	rɨt́́_ɨ-	rɨt́́_ɨ-	r !ɨ́/ɨ t ɨ	5693	5280	r !ɨ́/ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12308	kill	yawanawa	ɾɨtɨ	ɾɨtɨ	ɾ ɨ t ɨ	5693	5280	ɾ ɨ - t ɨ ( - )		None	oliveiraprotopanoan
12309	headwaters	protopanoan	ɽɨβo	ɽɨβo	ɽ ɨ β o	5694	5281	( - - - - - ) ɽ ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12310	headwaters	kashibo	rɨβo	rɨβo	r ɨ β o	5694	5281	( - - - - - ) r ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12311	headwaters	shipibokonibo	rɨβo	rɨβo	r ɨ β o	5694	5281	( - - - - - ) r ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12312	headwaters	shipibokonibo	rɨβoki	rɨβoki	r ɨ β o k i	5696	5283	( - - - - - ) r ɨ β o k i ( - - - - )		rɨβo <<punta>> + ki <<a,  contra>>	oliveiraprotopanoan
12313	headwaters	kapanawa	rɨβo	rɨβo	r ɨ β o	5694	5281	( - - - - - ) r ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12314	headwaters	kapanawa	rɨβoki	rɨβoki	r ɨ β o k i	5698	5285	( - - - - - ) r ɨ β o k i ( - - - - )		None	oliveiraprotopanoan
12315	headwaters	marubo	ɾɨβo	ɾɨβo	ɾ ɨ β o	5694	5281	( - - - - - ) ɾ ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12316	headwaters	chakobo	rɨβo	rɨβo	r ɨ β o	5694	5281	( - - - - - ) r ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12317	headwaters	chakobo	ʔani_rɨβo	ʔani_rɨβo	ʔ a n i + r ɨ β o	5694	5281	( ʔ a n i + ) r ɨ β o ( - - - - - - )		None	oliveiraprotopanoan
12318	headwaters	yaminawa	ɾɨɸotana	ɾɨɸotana	ɾ ɨ ɸ o t a n a	5694	5281	( - - - - - ) ɾ ɨ ɸ o ( - - t a n a )		None	oliveiraprotopanoan
12319	headwaters	sharanawa	rɨɸo	rɨɸo	r ɨ ɸ o	5694	5281	( - - - - - ) r ɨ ɸ o ( - - - - - - )		None	oliveiraprotopanoan
12320	headwaters	sharanawa	rɨɸon	rɨɸon	r ɨ ɸ o n	5694	5281	( - - - - - ) r ɨ ɸ o ( n - - - - - )		None	oliveiraprotopanoan
12321	headwaters	chaninawa	ɾiˈhuʔ	ɾiˈhuʔ	ɾ i h u ʔ	5694	5281	( - - - - - ) ɾ i h u ( ʔ - - - - - )		None	oliveiraprotopanoan
12322	headwaters	katukina	ɾɨˈβʊ	ɾɨˈβʊ	ɾ ɨ β u	5694	5281	( - - - - - ) ɾ ɨ β u ( - - - - - - )		None	oliveiraprotopanoan
12323	headwaters	amawaka	rɨwo	rɨwo	r ɨ w o	5694	5281	( - - - - - ) r ɨ w o ( - - - - - - )		II	oliveiraprotopanoan
12324	headwaters	kaxinawa	dɨbu	dɨbu	d ɨ b u	5694	5281	( - - - - - ) d ɨ b u ( - - - - - - )		None	oliveiraprotopanoan
12325	headwaters	marinawa	rɨ́́ɸó	rɨ́́ɸó	r !ɨ́/ɨ ɸ !ó/o	5694	5281	( - - - - - ) r !ɨ́/ɨ ɸ !ó/o ( - - - - - - )		None	oliveiraprotopanoan
12326	headwaters	yawanawa	[ɾɨˈhʊ]	[ɾɨˈhʊ]	ɾ ɨ h ʊ	5694	5281	( - - - - - ) ɾ ɨ h ʊ ( - - - - - - )		None	oliveiraprotopanoan
12327	headwaters	matis	dɨbumi	dɨbumi	d ɨ b u m i	5694	5281	( - - - - - ) d ɨ b u ( m i - - - - )		None	oliveiraprotopanoan
12328	in front of, above the river	protopanoan	ɽɨβo+ki	ɽɨβo+ki	ɽ ɨ β o + k i	5699	5286	ɽ ɨ β o ( + ) k i ( - - - - - )		None	oliveiraprotopanoan
12329	in front of, above the river	kashibo	rɨβomi	rɨβomi	r ɨ β o m i	5699	5286	r ɨ β o ( - ) - - ( m i - - - )		None	oliveiraprotopanoan
12330	in front of, above the river	shipibokonibo	rɨβoki	rɨβoki	r ɨ β o k i	5699	5286	r ɨ β o ( - ) k i ( - - - - - )		None	oliveiraprotopanoan
12331	in front of, above the river	kapanawa	rɨβoki	rɨβoki	r ɨ β o k i	5699	5286	r ɨ β o ( - ) k i ( - - - - - )		None	oliveiraprotopanoan
12332	in front of, above the river	chaninawa	madakiri	madakiri	m a d a k i r i	5700	5287	m a d a ( - ) k i r i ( - - - - )		None	oliveiraprotopanoan
12333	above	chaninawa	manakiri	manakiri	m a n a k i r i	5701	5288	m a n a ( - ) k i r i ( + k i r )		None	oliveiraprotopanoan
12334	in front of, above the river	sharanawa	rɨɸokiri	rɨɸokiri	r ɨ ɸ o k i r i	5699	5286	r ɨ ɸ o ( - ) k i ( r i - - - )		None	oliveiraprotopanoan
